model,seed,chunk_id,bin_mhz,site,split,horizon,mae_db,rmse_db
autoformer_csa,40,powder_600_800_t4t6,604.5,unknown,2d_test,15,0.3852492570877075,0.5961961150169373
autoformer_csa,40,powder_600_800_t4t6,605.5,unknown,2d_test,15,0.4009205102920532,0.5967257618904114
autoformer_csa,40,powder_600_800_t4t6,606.5,unknown,2d_test,15,0.3867737650871277,0.5929296016693115
autoformer_csa,40,powder_600_800_t4t6,607.5,unknown,2d_test,15,0.4044035971164703,0.6052035093307495
autoformer_csa,40,powder_600_800_t4t6,608.5,unknown,2d_test,15,0.0246251169592142,0.0766792371869087
autoformer_csa,40,powder_600_800_t4t6,609.5,unknown,2d_test,15,0.0259968321770429,0.0941160395741462
autoformer_csa,40,powder_600_800_t4t6,610.5,unknown,2d_test,15,0.0258661452680826,0.0941598117351532
autoformer_csa,40,powder_600_800_t4t6,611.5,unknown,2d_test,15,0.0262777525931596,0.1024668216705322
autoformer_csa,40,powder_600_800_t4t6,612.5,unknown,2d_test,15,0.0298375394195318,0.1154886782169342
autoformer_csa,40,powder_600_800_t4t6,613.5,unknown,2d_test,15,0.0280546154826879,0.1215955018997192
autoformer_csa,40,powder_600_800_t4t6,614.5,unknown,2d_test,15,0.0278565417975187,0.1229814812541008
autoformer_csa,40,powder_600_800_t4t6,615.5,unknown,2d_test,15,0.0250448286533355,0.1071100085973739
autoformer_csa,40,powder_600_800_t4t6,616.5,unknown,2d_test,15,0.0243045035749673,0.0964695513248443
autoformer_csa,40,powder_600_800_t4t6,617.5,unknown,2d_test,15,0.0267524570226669,0.0872648358345031
autoformer_csa,40,powder_600_800_t4t6,618.5,unknown,2d_test,15,0.0295682549476623,0.0953502357006073
autoformer_csa,40,powder_600_800_t4t6,619.5,unknown,2d_test,15,0.0317122861742973,0.0928778350353241
autoformer_csa,40,powder_600_800_t4t6,620.5,unknown,2d_test,15,0.0303304363042116,0.0859046578407287
autoformer_csa,40,powder_600_800_t4t6,621.5,unknown,2d_test,15,0.0328953191637992,0.0957418158650398
autoformer_csa,40,powder_600_800_t4t6,622.5,unknown,2d_test,15,2.4344279766082764,3.29730224609375
autoformer_csa,40,powder_600_800_t4t6,623.5,unknown,2d_test,15,2.300765037536621,3.135409355163574
autoformer_csa,40,powder_600_800_t4t6,624.5,unknown,2d_test,15,1.8073313236236568,2.530431270599365
autoformer_csa,40,powder_600_800_t4t6,625.5,unknown,2d_test,15,1.8941171169281008,2.6920268535614014
autoformer_csa,40,powder_600_800_t4t6,626.5,unknown,2d_test,15,1.4719679355621338,2.145616054534912
autoformer_csa,40,powder_600_800_t4t6,627.5,unknown,2d_test,15,1.6577515602111816,2.3783092498779297
autoformer_csa,40,powder_600_800_t4t6,628.5,unknown,2d_test,15,1.408997893333435,2.0762531757354736
autoformer_csa,40,powder_600_800_t4t6,629.5,unknown,2d_test,15,1.8009575605392456,2.5414958000183105
autoformer_csa,40,powder_600_800_t4t6,630.5,unknown,2d_test,15,1.801477551460266,2.5499792098999023
autoformer_csa,40,powder_600_800_t4t6,631.5,unknown,2d_test,15,2.073504686355591,2.858849048614502
autoformer_csa,40,powder_600_800_t4t6,632.5,unknown,2d_test,15,2.0604794025421143,2.879240036010742
autoformer_csa,40,powder_600_800_t4t6,633.5,unknown,2d_test,15,2.413505792617798,3.2623236179351807
autoformer_csa,40,powder_600_800_t4t6,634.5,unknown,2d_test,15,2.4083704948425293,3.303463935852051
autoformer_csa,40,powder_600_800_t4t6,635.5,unknown,2d_test,15,2.4387362003326416,3.310248851776123
autoformer_csa,40,powder_600_800_t4t6,636.5,unknown,2d_test,15,2.3922717571258545,3.255944013595581
autoformer_csa,40,powder_600_800_t4t6,637.5,unknown,2d_test,15,2.36242413520813,3.221004009246826
autoformer_csa,40,powder_600_800_t4t6,638.5,unknown,2d_test,15,2.4471898078918457,3.350900888442993
autoformer_csa,40,powder_600_800_t4t6,639.5,unknown,2d_test,15,2.356239080429077,3.205148458480835
autoformer_csa,40,powder_600_800_t4t6,640.5,unknown,2d_test,15,2.44763731956482,3.294065237045288
autoformer_csa,40,powder_600_800_t4t6,641.5,unknown,2d_test,15,2.4563229084014893,3.413249254226685
autoformer_csa,40,powder_600_800_t4t6,642.5,unknown,2d_test,15,0.8394325971603394,1.3597376346588137
autoformer_csa,40,powder_600_800_t4t6,643.5,unknown,2d_test,15,0.8788737654685974,1.4265958070755005
autoformer_csa,40,powder_600_800_t4t6,644.5,unknown,2d_test,15,0.95399409532547,1.5221434831619265
autoformer_csa,40,powder_600_800_t4t6,645.5,unknown,2d_test,15,0.9470149278640748,1.5126984119415283
autoformer_csa,40,powder_600_800_t4t6,646.5,unknown,2d_test,15,0.5417528748512268,0.8261255621910095
autoformer_csa,40,powder_600_800_t4t6,647.5,unknown,2d_test,15,0.9577093124389648,1.4611010551452637
autoformer_csa,40,powder_600_800_t4t6,648.5,unknown,2d_test,15,1.2274061441421509,1.94854474067688
autoformer_csa,40,powder_600_800_t4t6,649.5,unknown,2d_test,15,1.267935037612915,2.011545181274414
autoformer_csa,40,powder_600_800_t4t6,650.5,unknown,2d_test,15,1.2412004470825195,2.002898931503296
autoformer_csa,40,powder_600_800_t4t6,651.5,unknown,2d_test,15,1.2046163082122805,2.071634531021118
