model_name,seed,condition,band_id,start_mhz,end_mhz,objective,objective_name,test_mean_horizon_mae_db,test_mean_horizon_rmse_db,test_mae_db_t1,test_rmse_db_t1,test_mae_db_t15,test_rmse_db_t15,test_mae_db_t60,test_rmse_db_t60,test_n_values_t1,test_n_values_t15,test_n_values_t60
residuallinearar2d,44,region_only,R13,756.5,768.5,0.8739909941238273,val_mean_horizon_mae_db,0.8090014533694255,1.3172431751760871,0.7484662824912338,1.2366953547605373,0.7935630796480337,1.2996856827077263,0.884974997969009,1.415348488059998,283101,283101,283101
residuallinearar2d,40,full_context,R14,769.5,776.5,3.411144448305281,val_mean_horizon_mae_db,3.549437688074367,5.628540576829667,3.5174166020345505,5.581892751863074,3.537683836097926,5.612256823775873,3.5932126260906254,5.691472154850055,174216,174216,174216
residuallinearar2d,41,full_context,R14,769.5,776.5,3.4124271050465302,val_mean_horizon_mae_db,3.550509909081697,5.631812748495007,3.519474556980675,5.586418749617433,3.5398603084522344,5.616999397583138,3.5921948618121826,5.69202009828445,174216,174216,174216
residuallinearar2d,42,full_context,R14,769.5,776.5,3.4100021142836865,val_mean_horizon_mae_db,3.5486350646550844,5.62801178809552,3.5163560718764626,5.580648042570241,3.5370814780227278,5.61146872340346,3.5924676440660632,5.691918598312861,174216,174216,174216
residuallinearar2d,43,full_context,R14,769.5,776.5,3.410888790432544,val_mean_horizon_mae_db,3.5515254230122353,5.627927643691659,3.5184970036263294,5.58107494999106,3.539008791455335,5.61056659595068,3.5970704739550428,5.692141385133236,174216,174216,174216
residuallinearar2d,44,full_context,R14,769.5,776.5,3.411920897061655,val_mean_horizon_mae_db,3.5499590768046403,5.626900208152546,3.517088104039944,5.578679687001622,3.5383367306350673,5.610640378444885,3.594452395738909,5.691380559011131,174216,174216,174216
residuallinearar2d,40,region_only,R14,769.5,776.5,3.411144448305281,val_mean_horizon_mae_db,3.549437688074367,5.628540576829667,3.5174166020345505,5.581892751863074,3.537683836097926,5.612256823775873,3.5932126260906254,5.691472154850055,174216,174216,174216
residuallinearar2d,41,region_only,R14,769.5,776.5,3.4124271050465302,val_mean_horizon_mae_db,3.550509909081697,5.631812748495007,3.519474556980675,5.586418749617433,3.5398603084522344,5.616999397583138,3.5921948618121826,5.69202009828445,174216,174216,174216
residuallinearar2d,42,region_only,R14,769.5,776.5,3.4100021142836865,val_mean_horizon_mae_db,3.5486350646550844,5.62801178809552,3.5163560718764626,5.580648042570241,3.5370814780227278,5.61146872340346,3.5924676440660632,5.691918598312861,174216,174216,174216
residuallinearar2d,43,region_only,R14,769.5,776.5,3.410888790432544,val_mean_horizon_mae_db,3.5515254230122353,5.627927643691659,3.5184970036263294,5.58107494999106,3.539008791455335,5.61056659595068,3.5970704739550428,5.692141385133236,174216,174216,174216
residuallinearar2d,44,region_only,R14,769.5,776.5,3.411920897061655,val_mean_horizon_mae_db,3.5499590768046403,5.626900208152546,3.517088104039944,5.578679687001622,3.5383367306350673,5.610640378444885,3.594452395738909,5.691380559011131,174216,174216,174216
residuallinearar2d,40,full_context,R16,789.5,794.5,0.13523175430417506,val_mean_horizon_mae_db,0.17611352120069212,0.8829441668187977,0.1159249402492437,0.5263807408142949,0.15459619656888754,0.8043368597879382,0.2578194267839452,1.3181148998541599,130662,130662,130662
residuallinearar2d,41,full_context,R16,789.5,794.5,0.13500134009226292,val_mean_horizon_mae_db,0.17902647300662178,0.8976314235117201,0.11843992523680569,0.5363221897530014,0.16049308395566753,0.8296482288273678,0.25814640982739206,1.3269238519547915,130662,130662,130662
residuallinearar2d,42,full_context,R16,789.5,794.5,0.1339894265139491,val_mean_horizon_mae_db,0.1741572337621029,0.8835819992039129,0.11651896687403242,0.5280034855793092,0.1542782803142042,0.8104806014994625,0.25167445409807215,1.3122619105329671,130662,130662,130662
residuallinearar2d,43,full_context,R16,789.5,794.5,0.13514266392412394,val_mean_horizon_mae_db,0.18072873467180586,0.9034089281585986,0.11848548602697301,0.5323375193232585,0.16453333381699195,0.8474264212148456,0.2591673841714527,1.330462843937692,130662,130662,130662
residuallinearar2d,44,full_context,R16,789.5,794.5,0.1352557921829398,val_mean_horizon_mae_db,0.1789772612845416,0.8922394767965907,0.11760216163922184,0.5323130861356845,0.1594954212417202,0.8193595002175905,0.2598342009726828,1.325045844036497,130662,130662,130662
residuallinearar2d,40,region_only,R16,789.5,794.5,0.13523175430417506,val_mean_horizon_mae_db,0.17611352120069212,0.8829441668187977,0.1159249402492437,0.5263807408142949,0.15459619656888754,0.8043368597879382,0.2578194267839452,1.3181148998541599,130662,130662,130662
residuallinearar2d,41,region_only,R16,789.5,794.5,0.13500134009226292,val_mean_horizon_mae_db,0.17902647300662178,0.8976314235117201,0.11843992523680569,0.5363221897530014,0.16049308395566753,0.8296482288273678,0.25814640982739206,1.3269238519547915,130662,130662,130662
residuallinearar2d,42,region_only,R16,789.5,794.5,0.1339894265139491,val_mean_horizon_mae_db,0.1741572337621029,0.8835819992039129,0.11651896687403242,0.5280034855793092,0.1542782803142042,0.8104806014994625,0.25167445409807215,1.3122619105329671,130662,130662,130662
residuallinearar2d,43,region_only,R16,789.5,794.5,0.13514266392412394,val_mean_horizon_mae_db,0.18072873467180586,0.9034089281585986,0.11848548602697301,0.5323375193232585,0.16453333381699195,0.8474264212148456,0.2591673841714527,1.330462843937692,130662,130662,130662
residuallinearar2d,44,region_only,R16,789.5,794.5,0.1352557921829398,val_mean_horizon_mae_db,0.1789772612845416,0.8922394767965907,0.11760216163922184,0.5323130861356845,0.1594954212417202,0.8193595002175905,0.2598342009726828,1.325045844036497,130662,130662,130662
residuallinearar2d,40,full_context,R3,622.5,641.5,2.2879873859239632,val_mean_horizon_mae_db,2.0770528490493625,2.9397410733428337,1.8962221192488105,2.720151122210603,2.05907940683918,2.9219645073361353,2.275857021060097,3.1771075904817625,435540,435540,435540
residuallinearar2d,41,full_context,R3,622.5,641.5,2.2900291248430302,val_mean_horizon_mae_db,2.0768984988866657,2.940071820309925,1.8951004364998834,2.7195669002678744,2.0582963707964135,2.9219400076497783,2.277298689363701,3.178708553012122,435540,435540,435540
residuallinearar2d,42,full_context,R3,622.5,641.5,2.2924607785719275,val_mean_horizon_mae_db,2.0771179620096096,2.9406060532771647,1.895339947777707,2.719631521145112,2.0586208541098663,2.9222335932956125,2.2773930841412553,3.1799530453907705,435540,435540,435540
residuallinearar2d,43,full_context,R3,622.5,641.5,2.288757921530587,val_mean_horizon_mae_db,2.0784679847148912,2.9386429880396476,1.896381974087803,2.719475270587008,2.0614306110978187,2.921827460429792,2.277591368959053,3.174626233102141,435540,435540,435540
residuallinearar2d,44,full_context,R3,622.5,641.5,2.289956670942875,val_mean_horizon_mae_db,2.0854453482899893,2.9385350249064164,1.8995837975047576,2.7193911095892553,2.069877223913327,2.924089923319496,2.2868750234518838,3.172124041810499,435540,435540,435540
residuallinearar2d,40,region_only,R3,622.5,641.5,2.2879873859239632,val_mean_horizon_mae_db,2.0770528490493625,2.9397410733428337,1.8962221192488105,2.720151122210603,2.05907940683918,2.9219645073361353,2.275857021060097,3.1771075904817625,435540,435540,435540
residuallinearar2d,41,region_only,R3,622.5,641.5,2.2900291248430302,val_mean_horizon_mae_db,2.0768984988866657,2.940071820309925,1.8951004364998834,2.7195669002678744,2.0582963707964135,2.9219400076497783,2.277298689363701,3.178708553012122,435540,435540,435540
residuallinearar2d,42,region_only,R3,622.5,641.5,2.2924607785719275,val_mean_horizon_mae_db,2.0771179620096096,2.9406060532771647,1.895339947777707,2.719631521145112,2.0586208541098663,2.9222335932956125,2.2773930841412553,3.1799530453907705,435540,435540,435540
residuallinearar2d,43,region_only,R3,622.5,641.5,2.288757921530587,val_mean_horizon_mae_db,2.0784679847148912,2.9386429880396476,1.896381974087803,2.719475270587008,2.0614306110978187,2.921827460429792,2.277591368959053,3.174626233102141,435540,435540,435540
residuallinearar2d,44,region_only,R3,622.5,641.5,2.289956670942875,val_mean_horizon_mae_db,2.0854453482899893,2.9385350249064164,1.8995837975047576,2.7193911095892553,2.069877223913327,2.924089923319496,2.2868750234518838,3.172124041810499,435540,435540,435540
residuallinearar2d,40,full_context,R4,642.5,646.5,0.9491322325440891,val_mean_horizon_mae_db,0.8026504759271686,1.331550340171649,0.7148591291665232,1.2137624902497677,0.7899146192520617,1.3182154311007048,0.9031776793629209,1.4626730991644745,108885,108885,108885
residuallinearar2d,41,full_context,R4,642.5,646.5,0.9522818312812206,val_mean_horizon_mae_db,0.8071217981407898,1.3307722825778179,0.7176526708095348,1.2137707779580158,0.7951074837313575,1.3186681828131306,0.908605239881477,1.4598778869623075,108885,108885,108885
residuallinearar2d,42,full_context,R4,642.5,646.5,0.9500848008662057,val_mean_horizon_mae_db,0.803070098418706,1.3327723660323587,0.7145934158915872,1.213465178400104,0.7891814885654249,1.3188468907928326,0.9054353907991058,1.4660050289041393,108885,108885,108885
residuallinearar2d,43,full_context,R4,642.5,646.5,0.9503377286747533,val_mean_horizon_mae_db,0.8036609649249472,1.3303353023480329,0.7159252551598573,1.2132337742245285,0.7909445722388757,1.3171830778160467,0.9041130673761083,1.4605890550035232,108885,108885,108885
residuallinearar2d,44,full_context,R4,642.5,646.5,0.9516381193204007,val_mean_horizon_mae_db,0.80527299959604,1.3301155249924628,0.7161743961440558,1.2129324859307675,0.7928024778967363,1.3167366993278986,0.9068421247473278,1.460677389718722,108885,108885,108885
residuallinearar2d,40,region_only,R4,642.5,646.5,0.9491322325440891,val_mean_horizon_mae_db,0.8026504759271686,1.331550340171649,0.7148591291665232,1.2137624902497677,0.7899146192520617,1.3182154311007048,0.9031776793629209,1.4626730991644745,108885,108885,108885
residuallinearar2d,41,region_only,R4,642.5,646.5,0.9522818312812206,val_mean_horizon_mae_db,0.8071217981407898,1.3307722825778179,0.7176526708095348,1.2137707779580158,0.7951074837313575,1.3186681828131306,0.908605239881477,1.4598778869623075,108885,108885,108885
residuallinearar2d,42,region_only,R4,642.5,646.5,0.9500848008662057,val_mean_horizon_mae_db,0.803070098418706,1.3327723660323587,0.7145934158915872,1.213465178400104,0.7891814885654249,1.3188468907928326,0.9054353907991058,1.4660050289041393,108885,108885,108885
residuallinearar2d,43,region_only,R4,642.5,646.5,0.9503377286747533,val_mean_horizon_mae_db,0.8036609649249472,1.3303353023480329,0.7159252551598573,1.2132337742245285,0.7909445722388757,1.3171830778160467,0.9041130673761083,1.4605890550035232,108885,108885,108885
residuallinearar2d,44,region_only,R4,642.5,646.5,0.9516381193204007,val_mean_horizon_mae_db,0.80527299959604,1.3301155249924628,0.7161743961440558,1.2129324859307675,0.7928024778967363,1.3167366993278986,0.9068421247473278,1.460677389718722,108885,108885,108885
residuallinearar2d,40,full_context,R5,647.5,655.5,1.2330919717681974,val_mean_horizon_mae_db,1.0275659044029943,1.6848321618084536,0.7613530276726043,1.1840995972678725,0.9279435360151823,1.5249098652949231,1.3934011495211966,2.345487022862565,195993,195993,195993
residuallinearar2d,41,full_context,R5,647.5,655.5,1.2334850916072506,val_mean_horizon_mae_db,1.0283191522196855,1.684507002872495,0.7617165987842424,1.1832368637403619,0.929580849283473,1.5260663091383602,1.3936600085913413,2.344217835738763,195993,195993,195993
residuallinearar2d,42,full_context,R5,647.5,655.5,1.2347203187800524,val_mean_horizon_mae_db,1.0296125890382348,1.6833492433723067,0.7605823363999338,1.1823348063087842,0.9309291850207182,1.5241640605561053,1.3973262456940525,2.3435488632520305,195993,195993,195993
